Moving,Strategy,Distance,Target,Channel,Dataset
R5,Linear; Keypoint (OHSU; DAPI),0.00010201008963151,R1,DAPI,BrCa (OHSU)
R9,Linear; Keypoint (OHSU; DAPI),0.00010440334520573216,R1,DAPI,BrCa (OHSU)
R7,Linear; Keypoint (OHSU; DAPI),0.00010702772334118574,R1,DAPI,BrCa (OHSU)
R11,Linear; Keypoint (OHSU; DAPI),7.684532862915178e-05,R1,DAPI,BrCa (OHSU)
R2,Linear; Keypoint (OHSU; DAPI),0.00010878759627797772,R1,DAPI,BrCa (OHSU)
R8,Linear; Keypoint (OHSU; DAPI),0.00012183693192966277,R1,DAPI,BrCa (OHSU)
R6,Linear; Keypoint (OHSU; DAPI),0.00010465265436705224,R1,DAPI,BrCa (OHSU)
R4,Linear; Keypoint (OHSU; DAPI),0.00011018086544269687,R1,DAPI,BrCa (OHSU)
R10,Linear; Keypoint (OHSU; DAPI),0.00010640833873344636,R1,DAPI,BrCa (OHSU)
R3,Linear; Keypoint (OHSU; DAPI),0.00012369073021980718,R1,DAPI,BrCa (OHSU)
R7,Unaligned (DAPI),0.004878669045865536,R1,DAPI,BrCa (OHSU)
R7,Linear; Keypoint (DAPI),0.00011170006197662631,R1,DAPI,BrCa (OHSU)
R5,Unaligned (DAPI),0.05611172318458557,R1,DAPI,BrCa (OHSU)
R5,Linear; Keypoint (DAPI),0.00010128736432139287,R1,DAPI,BrCa (OHSU)
R9,Unaligned (DAPI),0.016781361773610115,R1,DAPI,BrCa (OHSU)
R9,Linear; Keypoint (DAPI),0.00010503357571630171,R1,DAPI,BrCa (OHSU)
R10,Unaligned (DAPI),0.03442332521080971,R1,DAPI,BrCa (OHSU)
R10,Linear; Keypoint (DAPI),0.00010713112201227001,R1,DAPI,BrCa (OHSU)
R4,Unaligned (DAPI),0.026095205917954445,R1,DAPI,BrCa (OHSU)
R4,Linear; Keypoint (DAPI),0.0001135355559295811,R1,DAPI,BrCa (OHSU)
R6,Unaligned (DAPI),0.14455369114875793,R1,DAPI,BrCa (OHSU)
R6,Linear; Keypoint (DAPI),9.440272555092294e-05,R1,DAPI,BrCa (OHSU)
R8,Unaligned (DAPI),0.03948286920785904,R1,DAPI,BrCa (OHSU)
R8,Linear; Keypoint (DAPI),0.0001256902620612999,R1,DAPI,BrCa (OHSU)
R11,Unaligned (DAPI),0.014644097536802292,R1,DAPI,BrCa (OHSU)
R11,Linear; Keypoint (DAPI),7.892745904721925e-05,R1,DAPI,BrCa (OHSU)
R3,Unaligned (DAPI),0.023611582815647125,R1,DAPI,BrCa (OHSU)
R3,Linear; Keypoint (DAPI),0.00012449719514045297,R1,DAPI,BrCa (OHSU)
R2,Unaligned (DAPI),0.02587486058473587,R1,DAPI,BrCa (OHSU)
R2,Linear; Keypoint (DAPI),0.00010520469425698716,R1,DAPI,BrCa (OHSU)
